Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey_suite_model,Chrome 148.0.7778.179,,,26-05-2026 22:32:51,26-05-2026 22:40:10,7m - 19.216s,PASSED
,,,,,,,
Test Cases/Authentication/TC_Login,Chrome 148.0.7778.179,,,26-05-2026 22:32:52,26-05-2026 22:33:16,24.478s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,26-05-2026 22:32:54,26-05-2026 22:33:08,14.688s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.179,,,26-05-2026 22:33:08,26-05-2026 22:33:10,1.720s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter your MDA""), ""govtest"")",Chrome 148.0.7778.179,,,26-05-2026 22:33:10,26-05-2026 22:33:13,2.838s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter Email""), ""apisupport@cicod.com"")",Chrome 148.0.7778.179,,,26-05-2026 22:33:13,26-05-2026 22:33:15,1.633s,PASSED
"setEncryptedText(findTestObject(""Page_1Government Login/input_Enter password""), ""9zJdpvfgkgtFa8MQRHGI0w=="")",Chrome 148.0.7778.179,,,26-05-2026 22:33:15,26-05-2026 22:33:15,0.958s,PASSED
"click(findTestObject(""Page_1Government Login/button_Login""))",Chrome 148.0.7778.179,,,26-05-2026 22:33:16,26-05-2026 22:33:16,0.822s,PASSED
,,,,,,,
Test Cases/Navigation/TC_Open_Task_Module,Chrome 148.0.7778.179,,,26-05-2026 22:33:16,26-05-2026 22:33:39,22.213s,PASSED
"click(findTestObject(""Page_1Gov/p_Automate Government MDAs critical operations,""))",Chrome 148.0.7778.179,,,26-05-2026 22:33:17,26-05-2026 22:33:39,21.850s,PASSED
,,,,,,,
Test Cases/Setup/TC_Create_Task,Chrome 148.0.7778.179,,,26-05-2026 22:33:39,26-05-2026 22:34:31,52.736s,PASSED
"navigateToUrl(""https://govtest.convergenceondemand.com/wfm/index.php?r=workOrder#active-tickets"")",Chrome 148.0.7778.179,,,26-05-2026 22:33:40,26-05-2026 22:33:40,0.070s,PASSED
delay(5),Chrome 148.0.7778.179,,,26-05-2026 22:33:40,26-05-2026 22:33:45,5.274s,PASSED
maximizeWindow(),Chrome 148.0.7778.179,// Maximize Browser,,26-05-2026 22:33:45,26-05-2026 22:33:46,0.926s,PASSED
"click(findTestObject(""Page_Work Order  Index- Workforce Manager/a_Create Task""))",Chrome 148.0.7778.179,,,26-05-2026 22:33:46,26-05-2026 22:33:50,4.146s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue""))",Chrome 148.0.7778.179,,,26-05-2026 22:33:50,26-05-2026 22:33:56,5.702s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Search""), ""aut"")",Chrome 148.0.7778.179,,,26-05-2026 22:33:56,26-05-2026 22:33:58,2.285s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/a_TEST AUTOMATION""))",Chrome 148.0.7778.179,,,26-05-2026 22:33:58,26-05-2026 22:33:59,0.967s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue Type""))",Chrome 148.0.7778.179,,,26-05-2026 22:33:59,26-05-2026 22:34:03,4.098s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Automated Testing""))",Chrome 148.0.7778.179,,,26-05-2026 22:34:03,26-05-2026 22:34:05,1.049s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Task Title _""), ""TEST AUTOMATION 10028791"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:05,26-05-2026 22:34:09,4.605s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/textarea_Description""), ""Smoke Test"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:09,26-05-2026 22:34:11,1.556s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input First Name""), ""Mr"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:11,26-05-2026 22:34:12,1.524s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Last Name""), ""Adekola"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:12,26-05-2026 22:34:14,1.654s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Phone Number""), ""Cole"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:14,26-05-2026 22:34:15,1.476s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Email Address""), ""testautomation@cicod.com"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:15,26-05-2026 22:34:17,1.574s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_house_no""), ""45b"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:17,26-05-2026 22:34:18,1.442s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_street""), ""Admiralty Way"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:18,26-05-2026 22:34:20,1.782s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_AngolaCameroonCongoEthopiaNigeriaSouth Af""), ""Nigeria"", false)",Chrome 148.0.7778.179,,,26-05-2026 22:34:20,26-05-2026 22:34:21,1.207s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_Select StateAbiaAbujaAdamawaAkwa IbomAnam""), ""Lagos"", false)",Chrome 148.0.7778.179,,,26-05-2026 22:34:21,26-05-2026 22:34:22,1.006s,PASSED
"switchToWindowTitle(""Work Order | Create- Workforce Manager"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:22,26-05-2026 22:34:23,0.180s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_optionsRadios1""))",Chrome 148.0.7778.179,,,26-05-2026 22:34:23,26-05-2026 22:34:24,1.006s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_optionsChecks1""))",Chrome 148.0.7778.179,,,26-05-2026 22:34:24,26-05-2026 22:34:24,0.752s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Select Date""), ""2026-05-20"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:24,26-05-2026 22:34:26,1.473s,PASSED
"filePath = getProjectDir() + ""/Include/test-files/data_backup.png""",Chrome 148.0.7778.179,,,26-05-2026 22:34:26,26-05-2026 22:34:26,0.029s,PASSED
assert File(filePath).exists(),Chrome 148.0.7778.179,,,26-05-2026 22:34:26,26-05-2026 22:34:26,0.071s,PASSED
"uploadObj = findTestObject(""Page_Work Order  Create- Workforce Manager/input_take-photo-input-selected_file"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:26,26-05-2026 22:34:26,0.026s,PASSED
"waitForElementPresent(uploadObj, 10)",Chrome 148.0.7778.179,,,26-05-2026 22:34:26,26-05-2026 22:34:26,0.531s,PASSED
"uploadFile(uploadObj, filePath)",Chrome 148.0.7778.179,,,26-05-2026 22:34:26,26-05-2026 22:34:27,0.519s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_should_assign_ticket""))",Chrome 148.0.7778.179,,,26-05-2026 22:34:27,26-05-2026 22:34:28,1.271s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_assign-to-user""), ""82"", false)",Chrome 148.0.7778.179,,,26-05-2026 22:34:28,26-05-2026 22:34:30,1.355s,PASSED
"waitForElementClickable(findTestObject(""Page_Work Order  Create- Workforce Manager/button_Create""), 20)",Chrome 148.0.7778.179,,,26-05-2026 22:34:30,26-05-2026 22:34:31,0.920s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/button_Create""))",Chrome 148.0.7778.179,,,26-05-2026 22:34:31,26-05-2026 22:34:31,0.752s,PASSED
,,,,,,,
Test Cases/Setup/TC_Open_Task_Details,Chrome 148.0.7778.179,,,26-05-2026 22:34:31,26-05-2026 22:35:21,49.586s,PASSED
waitForPageLoad(30),Chrome 148.0.7778.179,,,26-05-2026 22:34:34,26-05-2026 22:34:34,0.269s,PASSED
delay(3),Chrome 148.0.7778.179,,,26-05-2026 22:34:34,26-05-2026 22:34:37,3.046s,PASSED
modal = new com.kms.katalon.core.testobject.TestObject(),Chrome 148.0.7778.179,,,26-05-2026 22:34:37,26-05-2026 22:34:37,0.015s,PASSED
"modal.addProperty(""xpath"", EQUALS, ""//*[contains(text(),'Ticket ID')]"")",Chrome 148.0.7778.179,,,26-05-2026 22:34:37,26-05-2026 22:34:37,0.031s,PASSED
"waitForElementVisible(modal, 30)",Chrome 148.0.7778.179,,,26-05-2026 22:34:37,26-05-2026 22:34:38,1.105s,PASSED
successMessage = getText(modal),Chrome 148.0.7778.179,,,26-05-2026 22:34:38,26-05-2026 22:34:38,0.453s,PASSED
"println(""SUCCESS → "" + successMessage)",Chrome 148.0.7778.179,,,26-05-2026 22:34:38,26-05-2026 22:34:39,0.040s,PASSED
