Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey_suite_model,Chrome 148.0.7778.179,,,26-05-2026 22:01:13,26-05-2026 22:13:15,12m - 2.171s,FAILED
,,,,,,,
Test Cases/Authentication/TC_Login,Chrome 148.0.7778.179,,,26-05-2026 22:01:15,26-05-2026 22:01:43,28.181s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,26-05-2026 22:01:19,26-05-2026 22:01:32,13.336s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.179,,,26-05-2026 22:01:32,26-05-2026 22:01:34,1.636s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter your MDA""), ""govtest"")",Chrome 148.0.7778.179,,,26-05-2026 22:01:34,26-05-2026 22:01:36,2.496s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter Email""), ""apisupport@cicod.com"")",Chrome 148.0.7778.179,,,26-05-2026 22:01:36,26-05-2026 22:01:38,1.565s,PASSED
"setEncryptedText(findTestObject(""Page_1Government Login/input_Enter password""), ""9zJdpvfgkgtFa8MQRHGI0w=="")",Chrome 148.0.7778.179,,,26-05-2026 22:01:38,26-05-2026 22:01:39,1.697s,PASSED
"click(findTestObject(""Page_1Government Login/button_Login""))",Chrome 148.0.7778.179,,,26-05-2026 22:01:39,26-05-2026 22:01:43,3.665s,PASSED
,,,,,,,
Test Cases/Navigation/TC_Open_Task_Module,Chrome 148.0.7778.179,,,26-05-2026 22:01:44,26-05-2026 22:01:52,7.695s,PASSED
"click(findTestObject(""Page_1Gov/p_Automate Government MDAs critical operations,""))",Chrome 148.0.7778.179,,,26-05-2026 22:01:47,26-05-2026 22:01:52,5.403s,PASSED
,,,,,,,
Test Cases/Setup/TC_Create_Task,Chrome 148.0.7778.179,,,26-05-2026 22:01:52,26-05-2026 22:03:05,1m - 13.209s,PASSED
"navigateToUrl(""https://govtest.convergenceondemand.com/wfm/index.php?r=workOrder#active-tickets"")",Chrome 148.0.7778.179,,,26-05-2026 22:01:55,26-05-2026 22:01:55,0.084s,PASSED
delay(5),Chrome 148.0.7778.179,,,26-05-2026 22:01:55,26-05-2026 22:02:01,5.420s,PASSED
maximizeWindow(),Chrome 148.0.7778.179,// Maximize Browser,,26-05-2026 22:02:01,26-05-2026 22:02:02,1.545s,PASSED
"click(findTestObject(""Page_Work Order  Index- Workforce Manager/a_Create Task""))",Chrome 148.0.7778.179,,,26-05-2026 22:02:02,26-05-2026 22:02:11,8.475s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue""))",Chrome 148.0.7778.179,,,26-05-2026 22:02:11,26-05-2026 22:02:17,6.738s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Search""), ""aut"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:17,26-05-2026 22:02:22,4.573s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/a_TEST AUTOMATION""))",Chrome 148.0.7778.179,,,26-05-2026 22:02:22,26-05-2026 22:02:23,1.081s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue Type""))",Chrome 148.0.7778.179,,,26-05-2026 22:02:23,26-05-2026 22:02:26,3.034s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Automated Testing""))",Chrome 148.0.7778.179,,,26-05-2026 22:02:26,26-05-2026 22:02:27,1.160s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Task Title _""), ""TEST AUTOMATION 10028791"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:27,26-05-2026 22:02:33,5.264s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/textarea_Description""), ""Smoke Test"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:33,26-05-2026 22:02:36,3.128s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input First Name""), ""Mr"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:36,26-05-2026 22:02:39,2.973s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Last Name""), ""Adekola"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:39,26-05-2026 22:02:41,2.155s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Phone Number""), ""Cole"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:41,26-05-2026 22:02:42,1.578s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Email Address""), ""testautomation@cicod.com"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:42,26-05-2026 22:02:45,2.503s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_house_no""), ""45b"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:45,26-05-2026 22:02:47,1.880s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_street""), ""Admiralty Way"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:47,26-05-2026 22:02:49,2.519s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_AngolaCameroonCongoEthopiaNigeriaSouth Af""), ""Nigeria"", false)",Chrome 148.0.7778.179,,,26-05-2026 22:02:49,26-05-2026 22:02:53,3.840s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_Select StateAbiaAbujaAdamawaAkwa IbomAnam""), ""Lagos"", false)",Chrome 148.0.7778.179,,,26-05-2026 22:02:53,26-05-2026 22:02:56,2.405s,PASSED
"switchToWindowTitle(""Work Order | Create- Workforce Manager"")",Chrome 148.0.7778.179,,,26-05-2026 22:02:56,26-05-2026 22:02:56,0.198s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_optionsRadios1""))",Chrome 148.0.7778.179,,,26-05-2026 22:02:56,26-05-2026 22:02:57,0.849s,PASSED
