Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey_suite_model,Chrome 148.0.7778.179,,,27-05-2026 08:50:51,27-05-2026 08:56:30,5m - 38.145s,PASSED
,,,,,,,
Test Cases/Authentication/TC_Login,Chrome 148.0.7778.179,,,27-05-2026 08:50:52,27-05-2026 08:51:01,9.579s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,27-05-2026 08:50:53,27-05-2026 08:50:58,4.988s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.179,,,27-05-2026 08:50:58,27-05-2026 08:50:59,0.778s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter your MDA""), ""govtest"")",Chrome 148.0.7778.179,,,27-05-2026 08:50:59,27-05-2026 08:51:00,1.204s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter Email""), ""apisupport@cicod.com"")",Chrome 148.0.7778.179,,,27-05-2026 08:51:00,27-05-2026 08:51:01,0.808s,PASSED
"setEncryptedText(findTestObject(""Page_1Government Login/input_Enter password""), ""9zJdpvfgkgtFa8MQRHGI0w=="")",Chrome 148.0.7778.179,,,27-05-2026 08:51:01,27-05-2026 08:51:01,0.471s,PASSED
"click(findTestObject(""Page_1Government Login/button_Login""))",Chrome 148.0.7778.179,,,27-05-2026 08:51:01,27-05-2026 08:51:01,0.422s,PASSED
,,,,,,,
Test Cases/Navigation/TC_Open_Task_Module,Chrome 148.0.7778.179,,,27-05-2026 08:51:01,27-05-2026 08:51:06,5.043s,PASSED
"click(findTestObject(""Page_1Gov/p_Automate Government MDAs critical operations,""))",Chrome 148.0.7778.179,,,27-05-2026 08:51:02,27-05-2026 08:51:06,4.939s,PASSED
,,,,,,,
Test Cases/Setup/TC_Create_Task,Chrome 148.0.7778.179,,,27-05-2026 08:51:07,27-05-2026 08:51:37,30.133s,PASSED
"navigateToUrl(""https://govtest.convergenceondemand.com/wfm/index.php?r=workOrder#active-tickets"")",Chrome 148.0.7778.179,,,27-05-2026 08:51:07,27-05-2026 08:51:07,0.029s,PASSED
delay(5),Chrome 148.0.7778.179,,,27-05-2026 08:51:07,27-05-2026 08:51:12,5.066s,PASSED
maximizeWindow(),Chrome 148.0.7778.179,// Maximize Browser,,27-05-2026 08:51:12,27-05-2026 08:51:12,0.459s,PASSED
"click(findTestObject(""Page_Work Order  Index- Workforce Manager/a_Create Task""))",Chrome 148.0.7778.179,,,27-05-2026 08:51:12,27-05-2026 08:51:15,2.272s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue""))",Chrome 148.0.7778.179,,,27-05-2026 08:51:15,27-05-2026 08:51:17,2.800s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Search""), ""aut"")",Chrome 148.0.7778.179,,,27-05-2026 08:51:17,27-05-2026 08:51:18,0.785s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/a_TEST AUTOMATION""))",Chrome 148.0.7778.179,,,27-05-2026 08:51:18,27-05-2026 08:51:19,0.434s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue Type""))",Chrome 148.0.7778.179,,,27-05-2026 08:51:19,27-05-2026 08:51:21,2.625s,PASSED
