Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey_suite_model,Chrome 148.0.7778.179,,,27-05-2026 11:25:06,27-05-2026 11:30:42,5m - 35.791s,PASSED
,,,,,,,
Test Cases/Authentication/TC_Login,Chrome 148.0.7778.179,,,27-05-2026 11:25:06,27-05-2026 11:25:14,8.332s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,27-05-2026 11:25:06,27-05-2026 11:25:11,4.217s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:11,27-05-2026 11:25:12,0.945s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter your MDA""), ""govtest"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:12,27-05-2026 11:25:13,1.229s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter Email""), ""apisupport@cicod.com"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:13,27-05-2026 11:25:14,0.759s,PASSED
"setEncryptedText(findTestObject(""Page_1Government Login/input_Enter password""), ""9zJdpvfgkgtFa8MQRHGI0w=="")",Chrome 148.0.7778.179,,,27-05-2026 11:25:14,27-05-2026 11:25:14,0.450s,PASSED
"click(findTestObject(""Page_1Government Login/button_Login""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:14,27-05-2026 11:25:14,0.368s,PASSED
,,,,,,,
Test Cases/Navigation/TC_Open_Task_Module,Chrome 148.0.7778.179,,,27-05-2026 11:25:14,27-05-2026 11:25:19,4.956s,PASSED
"click(findTestObject(""Page_1Gov/p_Automate Government MDAs critical operations,""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:14,27-05-2026 11:25:19,4.873s,PASSED
,,,,,,,
Test Cases/Setup/TC_Create_Task,Chrome 148.0.7778.179,,,27-05-2026 11:25:19,27-05-2026 11:25:53,33.455s,PASSED
"navigateToUrl(""https://govtest.convergenceondemand.com/wfm/index.php?r=workOrder#active-tickets"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:20,27-05-2026 11:25:20,0.030s,PASSED
delay(5),Chrome 148.0.7778.179,,,27-05-2026 11:25:20,27-05-2026 11:25:25,5.090s,PASSED
maximizeWindow(),Chrome 148.0.7778.179,// Maximize Browser,,27-05-2026 11:25:25,27-05-2026 11:25:25,0.406s,PASSED
"click(findTestObject(""Page_Work Order  Index- Workforce Manager/a_Create Task""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:25,27-05-2026 11:25:28,2.846s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:28,27-05-2026 11:25:31,3.183s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Search""), ""aut"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:31,27-05-2026 11:25:33,1.215s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/a_TEST AUTOMATION""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:33,27-05-2026 11:25:34,1.046s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Select Queue Type""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:34,27-05-2026 11:25:36,2.464s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/span_Automated Testing""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:36,27-05-2026 11:25:37,0.776s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Task Title _""), ""TEST AUTOMATION 10028791"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:37,27-05-2026 11:25:40,2.718s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/textarea_Description""), ""Smoke Test"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:40,27-05-2026 11:25:40,0.910s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input First Name""), ""Mr"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:40,27-05-2026 11:25:41,0.905s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Last Name""), ""Adekola"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:41,27-05-2026 11:25:42,0.879s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Phone Number""), ""Cole"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:42,27-05-2026 11:25:43,0.878s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Input Email Address""), ""testautomation@cicod.com"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:43,27-05-2026 11:25:44,0.888s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_house_no""), ""45b"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:44,27-05-2026 11:25:45,0.849s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_street""), ""Admiralty Way"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:45,27-05-2026 11:25:46,0.891s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_AngolaCameroonCongoEthopiaNigeriaSouth Af""), ""Nigeria"", false)",Chrome 148.0.7778.179,,,27-05-2026 11:25:46,27-05-2026 11:25:47,0.783s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_Select StateAbiaAbujaAdamawaAkwa IbomAnam""), ""Lagos"", false)",Chrome 148.0.7778.179,,,27-05-2026 11:25:47,27-05-2026 11:25:47,0.741s,PASSED
"switchToWindowTitle(""Work Order | Create- Workforce Manager"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:47,27-05-2026 11:25:47,0.072s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_optionsRadios1""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:47,27-05-2026 11:25:48,0.533s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_optionsChecks1""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:48,27-05-2026 11:25:48,0.481s,PASSED
"setText(findTestObject(""Page_Work Order  Create- Workforce Manager/input_Select Date""), ""2026-05-20"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:48,27-05-2026 11:25:49,0.866s,PASSED
"filePath = getProjectDir() + ""/Include/test-files/data_backup.png""",Chrome 148.0.7778.179,,,27-05-2026 11:25:49,27-05-2026 11:25:49,0.013s,PASSED
assert File(filePath).exists(),Chrome 148.0.7778.179,,,27-05-2026 11:25:49,27-05-2026 11:25:49,0.025s,PASSED
"uploadObj = findTestObject(""Page_Work Order  Create- Workforce Manager/input_take-photo-input-selected_file"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:49,27-05-2026 11:25:49,0.010s,PASSED
"waitForElementPresent(uploadObj, 10)",Chrome 148.0.7778.179,,,27-05-2026 11:25:49,27-05-2026 11:25:50,0.312s,PASSED
"uploadFile(uploadObj, filePath)",Chrome 148.0.7778.179,,,27-05-2026 11:25:50,27-05-2026 11:25:50,0.362s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/input_should_assign_ticket""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:50,27-05-2026 11:25:51,0.698s,PASSED
"selectOptionByValue(findTestObject(""Page_Work Order  Create- Workforce Manager/select_assign-to-user""), ""82"", false)",Chrome 148.0.7778.179,,,27-05-2026 11:25:51,27-05-2026 11:25:51,0.688s,PASSED
"waitForElementClickable(findTestObject(""Page_Work Order  Create- Workforce Manager/button_Create""), 20)",Chrome 148.0.7778.179,,,27-05-2026 11:25:51,27-05-2026 11:25:52,0.552s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/button_Create""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:52,27-05-2026 11:25:53,0.934s,PASSED
,,,,,,,
Test Cases/Setup/TC_Open_Task_Details,Chrome 148.0.7778.179,,,27-05-2026 11:25:53,27-05-2026 11:26:26,33.473s,PASSED
waitForPageLoad(30),Chrome 148.0.7778.179,,,27-05-2026 11:25:54,27-05-2026 11:25:54,0.202s,PASSED
delay(3),Chrome 148.0.7778.179,,,27-05-2026 11:25:54,27-05-2026 11:25:57,3.021s,PASSED
modal = new com.kms.katalon.core.testobject.TestObject(),Chrome 148.0.7778.179,,,27-05-2026 11:25:57,27-05-2026 11:25:57,0.002s,PASSED
"modal.addProperty(""xpath"", EQUALS, ""//*[contains(text(),'Ticket ID')]"")",Chrome 148.0.7778.179,,,27-05-2026 11:25:57,27-05-2026 11:25:57,0.004s,PASSED
"waitForElementVisible(modal, 30)",Chrome 148.0.7778.179,,,27-05-2026 11:25:57,27-05-2026 11:25:58,0.318s,PASSED
successMessage = getText(modal),Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:58,0.271s,PASSED
"println(""SUCCESS → "" + successMessage)",Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:58,0.010s,PASSED
"matcher = successMessage =~ ""\d+""",Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:58,0.000s,PASSED
if (!(matcher.find())),Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:58,0.013s,PASSED
ticketId = matcher.group(),Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:58,0.000s,PASSED
"println(""Captured Ticket → "" + ticketId)",Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:58,0.007s,PASSED
"click(findTestObject(""Page_Work Order  Create- Workforce Manager/button_message-dismiss""))",Chrome 148.0.7778.179,,,27-05-2026 11:25:58,27-05-2026 11:25:59,0.930s,PASSED
waitForPageLoad(20),Chrome 148.0.7778.179,,,27-05-2026 11:25:59,27-05-2026 11:25:59,0.019s,PASSED
delay(2),Chrome 148.0.7778.179,,,27-05-2026 11:25:59,27-05-2026 11:26:01,2.024s,PASSED
"click(findTestObject(""Page_Work Order  Index- Workforce Manager/a_Created By Me""))",Chrome 148.0.7778.179,,,27-05-2026 11:26:01,27-05-2026 11:26:02,1.053s,PASSED
waitForPageLoad(10),Chrome 148.0.7778.179,,,27-05-2026 11:26:02,27-05-2026 11:26:02,0.019s,PASSED
delay(3),Chrome 148.0.7778.179,,,27-05-2026 11:26:02,27-05-2026 11:26:05,3.012s,PASSED
"search = findTestObject(""Page_Work Order  Index- Workforce Manager/input_Search"")",Chrome 148.0.7778.179,,,27-05-2026 11:26:05,27-05-2026 11:26:05,0.009s,PASSED
"waitForElementVisible(search, 30)",Chrome 148.0.7778.179,,,27-05-2026 11:26:05,27-05-2026 11:26:06,0.612s,PASSED
click(search),Chrome 148.0.7778.179,,,27-05-2026 11:26:06,27-05-2026 11:26:06,0.435s,PASSED
clearText(search),Chrome 148.0.7778.179,,,27-05-2026 11:26:06,27-05-2026 11:26:07,0.346s,PASSED
"setText(search, ticketId)",Chrome 148.0.7778.179,,,27-05-2026 11:26:07,27-05-2026 11:26:07,0.912s,PASSED
"sendKeys(search, Keys.chord(ENTER))",Chrome 148.0.7778.179,,,27-05-2026 11:26:07,27-05-2026 11:26:08,0.398s,PASSED
"println(""Searching → "" + ticketId)",Chrome 148.0.7778.179,,,27-05-2026 11:26:08,27-05-2026 11:26:08,0.001s,PASSED
delay(8),Chrome 148.0.7778.179,,,27-05-2026 11:26:08,27-05-2026 11:26:16,8.021s,PASSED
row = new com.kms.katalon.core.testobject.TestObject(),Chrome 148.0.7778.179,,,27-05-2026 11:26:16,27-05-2026 11:26:16,0.002s,PASSED
"row.addProperty(""xpath"", EQUALS, //tr[.//*[contains(text(),'$ticketId')]])",Chrome 148.0.7778.179,,,27-05-2026 11:26:16,27-05-2026 11:26:16,0.032s,PASSED
"found = waitForElementPresent(row, 30)",Chrome 148.0.7778.179,,,27-05-2026 11:26:16,27-05-2026 11:26:16,0.256s,PASSED
if (!(found)),Chrome 148.0.7778.179,,,27-05-2026 11:26:16,27-05-2026 11:26:16,0.000s,PASSED
"println(""Ticket row found"")",Chrome 148.0.7778.179,,,27-05-2026 11:26:16,27-05-2026 11:26:16,0.000s,PASSED
