Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey_suite_model,Chrome 148.0.7778.168,,,18-05-2026 19:46:46,18-05-2026 19:47:10,23.666s,PASSED
,,,,,,,
Test Cases/Login/Login with Invalid Credentials_Wrong Password,Chrome 148.0.7778.168,,,18-05-2026 19:46:46,18-05-2026 19:47:01,14.260s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,18-05-2026 19:46:47,18-05-2026 19:46:53,5.822s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.168,,,18-05-2026 19:46:53,18-05-2026 19:46:54,0.827s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,18-05-2026 19:46:54,18-05-2026 19:46:55,1.964s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.168,,,18-05-2026 19:46:55,18-05-2026 19:46:56,0.230s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter your MDA""), ""govtest"")",Chrome 148.0.7778.168,,,18-05-2026 19:46:56,18-05-2026 19:46:58,2.093s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter Email""), ""apisupport@cicod.com"")",Chrome 148.0.7778.168,,,18-05-2026 19:46:58,18-05-2026 19:46:59,1.240s,PASSED
"setEncryptedText(findTestObject(""Page_1Government Login/input_Enter password""), ""4nvbrPglk7k="")",Chrome 148.0.7778.168,,,18-05-2026 19:46:59,18-05-2026 19:47:00,0.749s,PASSED
"click(findTestObject(""Page_1Government Login/button_Login""))",Chrome 148.0.7778.168,,,18-05-2026 19:47:00,18-05-2026 19:47:01,0.709s,PASSED
,,,,,,,
Test Cases/Login/Login With Valid Credentials,Chrome 148.0.7778.168,,,18-05-2026 19:47:01,18-05-2026 19:47:09,8.811s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,18-05-2026 19:47:01,18-05-2026 19:47:03,1.753s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.168,,,18-05-2026 19:47:03,18-05-2026 19:47:03,0.819s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,18-05-2026 19:47:03,18-05-2026 19:47:05,1.658s,PASSED
"navigateToUrl(""https://convergenceondemand.com/login"")",Chrome 148.0.7778.168,,,18-05-2026 19:47:05,18-05-2026 19:47:06,0.540s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter your MDA""), ""govtest"")",Chrome 148.0.7778.168,,,18-05-2026 19:47:06,18-05-2026 19:47:07,1.307s,PASSED
"setText(findTestObject(""Page_1Government Login/input_Enter Email""), ""apisupport@cicod.com"")",Chrome 148.0.7778.168,,,18-05-2026 19:47:07,18-05-2026 19:47:08,1.116s,PASSED
"setEncryptedText(findTestObject(""Page_1Government Login/input_Enter password""), ""9zJdpvfgkgtFa8MQRHGI0w=="")",Chrome 148.0.7778.168,,,18-05-2026 19:47:08,18-05-2026 19:47:09,0.691s,PASSED
"click(findTestObject(""Page_1Government Login/button_Login""))",Chrome 148.0.7778.168,,,18-05-2026 19:47:09,18-05-2026 19:47:09,0.631s,PASSED
